year,week,snapped_at,price,market_cap,total_volume
2024,42,2024-10-18 00:00:00+00:00,2603.120292334612,313194633306.5954,14330391810.475258
2024,43,2024-10-21 00:00:00+00:00,2742.9591411600395,330127637903.2564,12697856633.57132
2024,44,2024-10-28 00:00:00+00:00,2505.502947138879,301656245036.7335,8656317174.654642
2024,45,2024-11-04 00:00:00+00:00,2456.979687344711,296080479788.8104,14546539750.496365
2024,46,2024-11-11 00:00:00+00:00,3191.9044555518158,384143201744.36383,47726595161.32535
2024,47,2024-11-18 00:00:00+00:00,3075.534532601624,370225690651.5099,28547657381.28478
2024,48,2024-11-25 00:00:00+00:00,3368.7027619429946,405718851021.4928,30123422893.99126
2024,49,2024-12-02 00:00:00+00:00,3708.8072387383017,446664514864.58777,29705280034.45904
2024,50,2024-12-09 00:00:00+00:00,4015.7820212328807,483642898147.5037,20728146237.12733
2024,51,2024-12-16 00:00:00+00:00,3961.3154661802314,477323245356.1555,24816850994.80954
2024,52,2024-12-23 00:00:00+00:00,3275.8894274015142,394984656581.5222,25811397925.979923
2025,1,2024-12-30 00:00:00+00:00,3357.330742971463,404459649875.75726,11315432322.371536
2025,2,2025-01-06 00:00:00+00:00,3635.854996180709,438092711283.2293,12542101206.558632
2025,3,2025-01-13 00:00:00+00:00,3264.070968533687,393199349088.33,9699706283.25854
2025,4,2025-01-20 00:00:00+00:00,3208.1365439891497,388676714260.872,59678736709.7496
2025,5,2025-01-27 00:00:00+00:00,3232.2767744705584,390058879989.8578,13000445022.22209
2025,6,2025-02-03 00:00:00+00:00,2862.6976188716285,344091054313.7205,38896518795.21238
2025,7,2025-02-10 00:00:00+00:00,2632.5358220552475,317369673472.60657,17155535243.908035
2025,8,2025-02-17 00:00:00+00:00,2659.9017474093457,320529173059.00665,8757895115.47748
2025,9,2025-02-24 00:00:00+00:00,2827.1844084879804,340712999974.1412,21394599890.269897
2025,10,2025-03-03 00:00:00+00:00,2517.3382391622977,303306117779.7704,37907412347.33495
2025,11,2025-03-10 00:00:00+00:00,2017.265460184326,243298514477.01385,17577023963.685375
2025,12,2025-03-17 00:00:00+00:00,1887.7643429692785,227688957214.28125,9486242392.181334
2025,13,2025-03-24 00:00:00+00:00,2001.0470230951885,241404254258.0785,7991413702.677865
2025,14,2025-03-31 00:00:00+00:00,1805.3378779435932,217784813538.97607,10056531345.160349
2025,15,2025-04-07 00:00:00+00:00,1574.6321611455576,190295586491.21872,23485484227.161697
2025,16,2025-04-14 00:00:00+00:00,1595.4227460001084,192382635779.77805,13775001676.60885
2025,17,2025-04-21 00:00:00+00:00,1585.4600253443446,191374869502.39383,6695768150.024456
2025,18,2025-04-28 00:00:00+00:00,1793.6918440730135,216533502206.27112,9632458065.106846
2025,19,2025-05-05 00:00:00+00:00,1808.156093844096,218216268630.8664,7479845748.828526
2025,20,2025-05-12 00:00:00+00:00,2507.4693107597423,302727255563.5134,26138286410.23315
2025,21,2025-05-19 00:00:00+00:00,2465.3409856139087,296863390804.2497,24797434472.364086
2025,22,2025-05-26 00:00:00+00:00,2546.6201163370915,307423642894.0653,13814697849.726278
2025,23,2025-06-02 00:00:00+00:00,2538.3300584367485,306561765778.2403,11338340571.11249
2025,24,2025-06-09 00:00:00+00:00,2508.784123584585,302870081038.261,10206893115.537256
2025,25,2025-06-16 00:00:00+00:00,2547.845604092044,307537228689.2678,11678912429.510712
