year,week,snapped_at,price,market_cap,total_volume
2024,42,2024-10-18 00:00:00+00:00,9.9094654088795,5113091148.104792,355303715.6855455
2024,43,2024-10-21 00:00:00+00:00,9.983126176818717,5151663835.182126,265923880.68049312
2024,44,2024-10-28 00:00:00+00:00,9.174799782414514,4749266972.394606,247527835.27131057
2024,45,2024-11-04 00:00:00+00:00,8.202373833448384,4260803973.901461,375097293.7269352
2024,46,2024-11-11 00:00:00+00:00,10.90763858039695,5664610211.380625,1070817163.0652788
2024,47,2024-11-18 00:00:00+00:00,11.745089957018545,6256206536.211427,676143459.9791517
2024,48,2024-11-25 00:00:00+00:00,12.45218124827332,6643701885.213823,1021975419.4311692
2024,49,2024-12-02 00:00:00+00:00,13.47093473587795,7199570590.277474,468754509.8004553
2024,50,2024-12-09 00:00:00+00:00,14.545758998887644,7791336219.167781,414858790.8022806
2024,51,2024-12-16 00:00:00+00:00,13.705536037496907,7610171450.217537,424863804.9138433
2024,52,2024-12-23 00:00:00+00:00,9.224964304861118,5145090401.755935,667214635.5004593
2025,1,2024-12-30 00:00:00+00:00,8.87928671279324,4947513155.923594,229700197.5524965
2025,2,2025-01-06 00:00:00+00:00,10.076539901650658,5635354987.609911,287885849.0904319
2025,3,2025-01-13 00:00:00+00:00,8.815738567499272,4932779458.915551,242481288.96626425
2025,4,2025-01-20 00:00:00+00:00,8.53316512372328,4892972601.147421,578850547.5869857
2025,5,2025-01-27 00:00:00+00:00,7.824937846807867,4482756194.579802,131930634.42387632
2025,6,2025-02-03 00:00:00+00:00,6.119618711668766,3510501080.1408463,461672366.87685806
2025,7,2025-02-10 00:00:00+00:00,5.906570292787173,3392607415.855104,222923205.2242776
2025,8,2025-02-17 00:00:00+00:00,5.809958053436784,3409846985.7662573,106945793.61203858
2025,9,2025-02-24 00:00:00+00:00,6.126720760328082,3602856564.910709,136229602.72695482
2025,10,2025-03-03 00:00:00+00:00,6.7410229431769295,3966319811.2125,282889904.959219
2025,11,2025-03-10 00:00:00+00:00,5.614067551226147,3306565418.479873,197933561.5097663
2025,12,2025-03-17 00:00:00+00:00,5.15030610539036,3102784961.785425,98062076.02492864
2025,13,2025-03-24 00:00:00+00:00,5.708940250016129,3446427846.630884,72153074.5676151
2025,14,2025-03-31 00:00:00+00:00,5.285225227600953,3188360313.9505324,86524787.88796405
2025,15,2025-04-07 00:00:00+00:00,4.332986803782101,2625016277.9142127,166610831.76263317
2025,16,2025-04-14 00:00:00+00:00,4.811660400776754,2969424928.142588,149035896.8046184
2025,17,2025-04-21 00:00:00+00:00,5.061009189067044,3126824929.497565,107279616.9066868
2025,18,2025-04-28 00:00:00+00:00,5.375252090351362,3329333126.953072,119511028.16015886
2025,19,2025-05-05 00:00:00+00:00,5.103885569593204,3165626464.0867267,81226459.23008715
2025,20,2025-05-12 00:00:00+00:00,5.874062187546445,3649387770.9868007,267736942.68528047
2025,21,2025-05-19 00:00:00+00:00,5.139111473011773,3238920045.12621,181160534.28379777
2025,22,2025-05-26 00:00:00+00:00,5.255308473858145,3327972822.488437,169738883.72977102
2025,23,2025-06-02 00:00:00+00:00,4.81420949401646,3036507780.243276,125444281.65282528
2025,24,2025-06-09 00:00:00+00:00,4.707729696864491,2972259871.4289427,97759176.62789336
2025,25,2025-06-16 00:00:00+00:00,4.5379355989122265,2911537152.748315,95709793.20216724
