year,week,snapped_at,price,market_cap,total_volume
2024,42,2024-10-18 00:00:00+00:00,0.5437042949601256,30820760554.066605,1540201676.826673
2024,43,2024-10-21 00:00:00+00:00,0.5465831979073458,30973256934.50095,716137205.8632469
2024,44,2024-10-28 00:00:00+00:00,0.51635641669338,29334461123.41089,515723360.5019684
2024,45,2024-11-04 00:00:00+00:00,0.5030000429314513,28618008472.11865,949812735.309164
2024,46,2024-11-11 00:00:00+00:00,0.5894389337521334,33489525846.208927,4261955471.851764
2024,47,2024-11-18 00:00:00+00:00,1.0602237280952598,60359853822.81238,13225025169.216898
2024,48,2024-11-25 00:00:00+00:00,1.4316792853395408,81614292718.7067,13367222473.504513
2024,49,2024-12-02 00:00:00+00:00,2.286339588570724,130208395250.7976,18435365983.17054
2024,50,2024-12-09 00:00:00+00:00,2.6181421664576834,149556382944.37164,10399952121.56792
2024,51,2024-12-16 00:00:00+00:00,2.455839490003076,140694946111.10138,6560100595.864213
2024,52,2024-12-23 00:00:00+00:00,2.1983060900755347,126002620224.90738,10514832661.665257
2025,1,2024-12-30 00:00:00+00:00,2.095671915727654,120314515334.02428,2675953522.389836
2025,2,2025-01-06 00:00:00+00:00,2.403897929295378,138016718840.73596,4325348371.227318
2025,3,2025-01-13 00:00:00+00:00,2.506265236852104,143972439143.77383,4880658835.456561
2025,4,2025-01-20 00:00:00+00:00,2.9594983276278826,171067792033.8191,13089511624.10229
2025,5,2025-01-27 00:00:00+00:00,3.0173114670832017,174315205302.41763,3093938754.203019
2025,6,2025-02-03 00:00:00+00:00,2.5701343337873217,147851780048.77136,13660382309.418026
2025,7,2025-02-10 00:00:00+00:00,2.398421850062732,138409786399.36917,4110259067.581117
2025,8,2025-02-17 00:00:00+00:00,2.725189428942385,157590298702.77087,2966410173.436753
2025,9,2025-02-24 00:00:00+00:00,2.5798851271909053,149332625214.34015,2072248429.8119545
2025,10,2025-03-03 00:00:00+00:00,2.9400745785854188,169870381405.5461,14741402315.716309
2025,11,2025-03-10 00:00:00+00:00,2.1362635270101267,124005386868.27168,5104105960.491239
2025,12,2025-03-17 00:00:00+00:00,2.300909638865169,133729450717.8674,3149719385.5106583
2025,13,2025-03-24 00:00:00+00:00,2.4358937819105337,141666982426.27832,2036803299.3463092
2025,14,2025-03-31 00:00:00+00:00,2.135945706762188,124324478160.5522,2477465471.988889
2025,15,2025-04-07 00:00:00+00:00,1.9232068608073247,112137731756.69206,5107597669.95859
2025,16,2025-04-14 00:00:00+00:00,2.118179146058531,123493869513.43184,3631412098.056245
2025,17,2025-04-21 00:00:00+00:00,2.0747196454629124,121133082660.908,1454273605.4356875
2025,18,2025-04-28 00:00:00+00:00,2.2566771719971905,131895374150.1833,3751692488.2109566
2025,19,2025-05-05 00:00:00+00:00,2.1580623583353407,126191990501.91489,1372805879.5778592
2025,20,2025-05-12 00:00:00+00:00,2.3665185406774456,138618419781.15787,3957902320.317386
2025,21,2025-05-19 00:00:00+00:00,2.4178990437197814,141620424382.77466,2871045382.6763167
2025,22,2025-05-26 00:00:00+00:00,2.3405861862412927,137358561276.94504,1905275005.1451297
2025,23,2025-06-02 00:00:00+00:00,2.1802830722675224,128150107940.42342,1521954083.381058
2025,24,2025-06-09 00:00:00+00:00,2.2629632981656744,133080974653.21156,2297445951.3852534
2025,25,2025-06-16 00:00:00+00:00,2.166318490313782,127577707973.1105,1231293467.1767986
