year,week,snapped_at,price,market_cap,total_volume
2024,42,2024-10-18 00:00:00+00:00,592.06562034803,86333076752.49678,727488240.0562967
2024,43,2024-10-21 00:00:00+00:00,604.7364465668796,88195432727.09534,403326085.9419088
2024,44,2024-10-28 00:00:00+00:00,588.3466587883522,85827006527.09506,441842652.54891616
2024,45,2024-11-04 00:00:00+00:00,557.9719388092819,81477370371.82082,807471288.4620364
2024,46,2024-11-11 00:00:00+00:00,628.4982208915301,91619975451.01256,2637125258.8770103
2024,47,2024-11-18 00:00:00+00:00,617.8473040647104,90046308523.15709,1828130470.576308
2024,48,2024-11-25 00:00:00+00:00,661.6867306484445,96535188283.16573,2917371682.838013
2024,49,2024-12-02 00:00:00+00:00,655.7348886381908,95646063853.98654,1465006765.1405237
2024,50,2024-12-09 00:00:00+00:00,745.3758374040211,108738492023.74458,1318662772.5807214
2024,51,2024-12-16 00:00:00+00:00,722.5581932063777,105502278026.93062,1087890178.982156
2024,52,2024-12-23 00:00:00+00:00,648.5721398402843,94636666608.3006,1137478924.2738469
2025,1,2024-12-30 00:00:00+00:00,694.4826804506174,101318707630.7003,760246771.2998646
2025,2,2025-01-06 00:00:00+00:00,709.3017578903202,103477999966.75745,434122074.033253
2025,3,2025-01-13 00:00:00+00:00,693.0584426939826,101115094667.83743,309732566.9199188
2025,4,2025-01-20 00:00:00+00:00,682.349570503562,99876651488.00716,2173870248.0155425
2025,5,2025-01-27 00:00:00+00:00,664.4667087887276,97045143802.68118,563417170.9715786
2025,6,2025-02-03 00:00:00+00:00,616.6428289864358,89802207151.70592,1132723233.233987
2025,7,2025-02-10 00:00:00+00:00,617.2838550746773,90013323288.5319,2076025506.140306
2025,8,2025-02-17 00:00:00+00:00,674.7322746333247,98458814653.06976,1123867609.080516
2025,9,2025-02-24 00:00:00+00:00,658.3040708334223,96034671976.4126,587694368.3681146
2025,10,2025-03-03 00:00:00+00:00,623.6422270366194,90933571455.36256,1393848651.9408092
2025,11,2025-03-10 00:00:00+00:00,554.7300039388367,80974945856.31647,794891836.6676661
2025,12,2025-03-17 00:00:00+00:00,602.0153495286127,87819548553.47964,880757968.1631225
2025,13,2025-03-24 00:00:00+00:00,622.808568853935,90921593695.69312,565395555.6061037
2025,14,2025-03-31 00:00:00+00:00,601.4706478405623,87655671715.34909,627788963.5666428
2025,15,2025-04-07 00:00:00+00:00,554.4379559214581,81006289896.18011,768924462.5165749
2025,16,2025-04-14 00:00:00+00:00,583.6441112439634,85134836117.92719,492926645.2392504
2025,17,2025-04-21 00:00:00+00:00,592.9015532596577,86496970287.17703,427574407.8731377
2025,18,2025-04-28 00:00:00+00:00,603.5371460135477,88050307610.3246,548378967.0336518
2025,19,2025-05-05 00:00:00+00:00,585.8899216562841,85450932663.94621,541509182.9932485
2025,20,2025-05-12 00:00:00+00:00,650.8664613901699,94954778272.58716,1186159482.5022006
2025,21,2025-05-19 00:00:00+00:00,649.3806686821907,94612727897.71043,835970956.2085127
2025,22,2025-05-26 00:00:00+00:00,670.0121393931087,97751564279.60324,768619050.9190482
2025,23,2025-06-02 00:00:00+00:00,661.3452261434389,96509769841.11876,513744446.15491945
2025,24,2025-06-09 00:00:00+00:00,652.274428548494,95162483374.16092,277471527.06296444
2025,25,2025-06-16 00:00:00+00:00,648.2042600997396,94569766054.11092,342983199.2537816
