snapped_at,price,market_cap,total_volume
2024-12-05 00:00:00 UTC,0.0024550557637380227,0.0,34744494.870468296
2024-12-06 00:00:00 UTC,0.0024550557637380227,0.0,34744494.870468296
2024-12-07 00:00:00 UTC,0.0024613716258664285,0.0,36822343.94895762
2024-12-08 00:00:00 UTC,0.004358508461386875,0.0,776228628.161769
2024-12-09 00:00:00 UTC,0.004194621595905986,0.0,463790172.0935189
2024-12-10 00:00:00 UTC,0.005479517567641787,0.0,1121574457.5729554
2024-12-11 00:00:00 UTC,0.005123604718100566,0.0,705145518.1561837
2024-12-12 00:00:00 UTC,0.00566854378952271,0.0,386406343.9069566
2024-12-13 00:00:00 UTC,0.005040810923700246,0.0,184301143.1501994
2024-12-14 00:00:00 UTC,0.004721100459182748,0.0,177597421.7990917
2024-12-15 00:00:00 UTC,0.004365364637897192,0.0,206454328.45332718
2024-12-16 00:00:00 UTC,0.004373259094896123,0.0,115701446.49972062
2024-12-17 00:00:00 UTC,0.004215080838698426,0.0,163227743.05118674
2024-12-18 00:00:00 UTC,0.003917951007701915,0.0,247946282.86243773
2024-12-19 00:00:00 UTC,0.003721630389317075,0.0,107704139.4685352
2024-12-20 00:00:00 UTC,0.0035211233878664158,0.0,121719369.19396356
2024-12-21 00:00:00 UTC,0.0036182936691304384,0.0,130891240.00377834
2024-12-22 00:00:00 UTC,0.003515004740913081,0.0,200046943.58676153
2024-12-23 00:00:00 UTC,0.0034760326006746797,0.0,93450909.6417132
2024-12-24 00:00:00 UTC,0.00371775552357723,0.0,86813016.6527247
2024-12-25 00:00:00 UTC,0.003891035435629424,0.0,76874100.58505258
2024-12-26 00:00:00 UTC,0.0036640019450402393,0.0,56014242.014766715
2024-12-27 00:00:00 UTC,0.003328781753462491,0.0,48966169.93484163
2024-12-28 00:00:00 UTC,0.003258456386316905,0.0,47549819.415171556
2024-12-29 00:00:00 UTC,0.0033165353666485616,0.0,34369941.25557958
2024-12-30 00:00:00 UTC,0.0031170239342991836,0.0,34427655.54989836
2024-12-31 00:00:00 UTC,0.0030903916362632748,0.0,44629245.31467715
2025-01-01 00:00:00 UTC,0.0030841756131170144,0.0,56109605.228639215
2025-01-02 00:00:00 UTC,0.0031496602523745,0.0,28705890.306916554
2025-01-03 00:00:00 UTC,0.003210932707398741,0.0,35221973.231229655
2025-01-04 00:00:00 UTC,0.0034838517330340333,0.0,55940482.824678615
2025-01-05 00:00:00 UTC,0.0033961779776286683,0.0,45954473.68488131
2025-01-06 00:00:00 UTC,0.0033631088358320915,0.0,36067483.14342755
2025-01-07 00:00:00 UTC,0.0033668845604637445,0.0,39646288.22023535
2025-01-08 00:00:00 UTC,0.0029555382949255993,0.0,78316296.20877619
2025-01-09 00:00:00 UTC,0.00275351083901366,0.0,45947979.68307082
2025-01-10 00:00:00 UTC,0.0027047561139748807,0.0,55372730.1812529
2025-01-11 00:00:00 UTC,0.0028008456429070862,0.0,32583563.58088924
2025-01-12 00:00:00 UTC,0.00280150287023421,0.0,22159242.338004716
2025-01-13 00:00:00 UTC,0.002744217337070101,0.0,19077516.60123068
2025-01-14 00:00:00 UTC,0.002651925828119835,0.0,26026574.27139927
2025-01-15 00:00:00 UTC,0.0027573817068945795,0.0,14589070.135444984
2025-01-16 00:00:00 UTC,0.0029372193457833417,0.0,19648418.40633256
2025-01-17 00:00:00 UTC,0.00278392455235093,0.0,17956023.782897253
2025-01-18 00:00:00 UTC,0.0030925727999705386,0.0,35719317.73299746
2025-01-19 00:00:00 UTC,0.0026832189853291015,0.0,34088488.486440405
2025-01-20 00:00:00 UTC,0.0022398728817396457,0.0,48411303.250508755
2025-01-21 00:00:00 UTC,0.0021580170835294138,0.0,43669586.86089431
2025-01-22 00:00:00 UTC,0.002238283065987935,0.0,49663149.061268784
2025-01-23 00:00:00 UTC,0.00225278397214259,0.0,16807921.638259538
2025-01-24 00:00:00 UTC,0.0022441325138703215,0.0,20895640.767302826
2025-01-25 00:00:00 UTC,0.002171198326107139,0.0,12806050.076882431
2025-01-26 00:00:00 UTC,0.002235456555774958,0.0,9076292.197090669
2025-01-27 00:00:00 UTC,0.002152053951474414,0.0,10369003.535522023
2025-01-28 00:00:00 UTC,0.0020657166334584875,0.0,15822772.953686062
2025-01-29 00:00:00 UTC,0.001901175897856833,0.0,10859959.802567223
2025-01-30 00:00:00 UTC,0.0020138852290616164,0.0,12098833.563450763
2025-01-31 00:00:00 UTC,0.00206540798877479,0.0,8386453.002715396
2025-02-01 00:00:00 UTC,0.0021048082682698197,0.0,12133877.05993282
2025-02-02 00:00:00 UTC,0.0018590360381891306,0.0,9445934.791515004
2025-02-03 00:00:00 UTC,0.0016220029123693355,0.0,14988012.32988651
2025-02-04 00:00:00 UTC,0.001679419899658062,0.0,26134407.139600765
2025-02-05 00:00:00 UTC,0.0015688239371451093,0.0,14298991.36373504
2025-02-06 00:00:00 UTC,0.0015192481853956617,0.0,8715596.391656647
2025-02-07 00:00:00 UTC,0.00141989639378445,0.0,8856791.228770802
2025-02-08 00:00:00 UTC,0.0014480144047451667,0.0,8272066.029324813
2025-02-09 00:00:00 UTC,0.0015910725547115979,0.0,10748542.007476944
2025-02-10 00:00:00 UTC,0.0015635246433827257,0.0,20989292.626302656
2025-02-11 00:00:00 UTC,0.0015692117752834649,0.0,11291703.56706109
2025-02-12 00:00:00 UTC,0.0015444868794113682,0.0,11476551.196483288
2025-02-13 00:00:00 UTC,0.0019170171724329995,0.0,37158584.69671281
2025-02-14 00:00:00 UTC,0.0016402442038727415,0.0,29465210.509216897
